20,54,57
27,86,25
27,86,25
27,86,36
27,86,36
26,99,53
26,99,27
100,100,100
44,101,13
37,109,36
37,109,36
37,109,36
39,109,27
39,109,27
37,109,36
37,109,36
37,109,36
39,109,27
39,109,27
39,109,21
39,109,62
34,116,54
34,116,54
34,116,54
34,116,36
13,117,53
27,117,62
8,118,62
8,118,62
8,118,62
7,118,59
7,118,57
26,119,22
29,119,37
29,119,37
64,127,31
44,139,28
20,141,64
20,141,64
20,141,64
20,141,64
20,141,64
8,148,30
8,148,27
11,153,55
11,153,55
11,153,30
11,153,53
25,154,14
25,154,14
29,155,8
68,155,30
27,158,33
27,158,33
27,158,33
27,158,33
62,161,5
39,161,67
12,161,69
12,161,69
34,164,53
30,166,66
30,166,66
6,169,30
6,169,30
6,169,27
6,169,36
12,170,62
33,173,29
33,173,29
33,173,27
33,173,36
31,175,27
20,176,7
41,177,12
46,177,40
18,181,28
18,181,28
18,181,63
18,181,25
14,182,47
13,185,40
41,187,29
28,187,3
49,192,40
69,193,38
19,196,34
19,196,34
19,196,34
38,196,63
19,196,34
38,196,36
34,202,59
34,202,59
18,202,23
18,202,23
18,202,23
18,202,23
18,202,33
18,202,28
18,202,56
18,202,56
36,203,27
36,203,27
18,204,58
39,216,54
39,216,54
35,222,19
35,222,36
50,223,28
27,224,13
37,224,46
37,224,46
57,225,30
57,225,55
43,229,35
33,234,67
38,241,34
29,241,58
29,241,58
17,243,35
21,243,35
18,248,45
51,248,53
51,248,53
51,248,53
51,248,53
18,248,30
35,251,30
58,251,21
30,254,25
48,255,19
21,258,56
21,258,56
21,258,29
21,258,25
25,263,47
25,263,47
29,264,24
29,264,24
23,267,53
42,268,36
34,270,29
44,270,36
67,271,31
19,272,55
48,276,29
31,277,53
31,277,53
46,290,24
39,290,35
46,290,24
25,293,72
25,293,72
25,293,28
25,293,57
35,294,40
35,294,40
34,296,20
22,301,33
22,301,54
28,302,34
18,303,16
35,314,29
73,314,32
34,317,23
53,319,41
53,319,41
25,320,18
73,321,41
73,321,41
63,323,11
63,323,11
32,325,12
31,326,13
31,326,13
52,327,13
52,327,13
38,328,31
31,332,66
31,332,66
31,332,66
31,332,66
55,336,18
22,336,23
48,337,37
53,340,45
29,347,14
42,351,32
42,351,32
52,352,51
52,352,51
42,354,18
23,354,57
23,354,57
23,354,29
23,354,30
46,355,31
46,355,31
37,355,75
37,355,75
37,355,75
37,355,75
30,356,26
51,357,35
46,359,62
46,359,62
44,366,18
44,366,18
34,374,10
34,374,10
44,378,23
53,380,43
50,383,25
23,383,19
50,383,25
23,383,19
37,385,23
33,392,22
65,392,34
31,394,5
35,399,30
19,400,3
54,401,31
54,401,31
53,404,35
49,405,65
38,407,70
38,407,70
39,409,23
38,413,4
32,414,19
52,416,46
66,417,30
40,417,24
66,417,30
40,417,24
20,420,8
50,433,17
50,433,17
